# Fitness: Best, Avg
-156	-199.560000000000002
-179	-199.789999999999992
-162	-199.159999999999997
-138	-198.439999999999998
-141	-198.490000000000009
-141	-197.659999999999997
-141	-198.819999999999993
-141	-199.409999999999997
-141	-198.550000000000011
-138	-198.099999999999994
-135	-196.219999999999999
-118	-194.039999999999992
-91	-193.5
-109	-195.599999999999994
-109	-195.719999999999999
-109	-195.759999999999991
-105	-194.509999999999991
-109	-195.97999999999999
-109	-197.240000000000009
-91	-196.580000000000013
-109	-197.400000000000006
-109	-197.389999999999986
-109	-197.110000000000014
-103	-196.949999999999989
-95	-192.780000000000001
-98	-196.27000000000001
-95	-195.360000000000014
-95	-195.879999999999995
-94	-197.460000000000008
-96	-194.860000000000014
-96	-195
-91	-193.490000000000009
-98	-195.710000000000008
-91	-194.02000000000001
-98	-194.5
-99	-195.189999999999998
-87	-194.5
-85	-194.300000000000011
-102	-195.56481481481481
-87	-193.810000000000002
-102	-195.370000000000005
-102	-197.469999999999999
-102	-198.150000000000006
-87	-195.400000000000006
-90	-191.430000000000007
-87	-196.629999999999995
-88	-192.189999999999998
-101	-195.469999999999999
-90	-191.629999999999995
-87	-187.699999999999989
-89	-190.620000000000005
-86	-184.97999999999999
-93	-189.080000000000013
-90	-189.060000000000002
-86	-187.090000000000003
-86	-185.629999999999995
-90	-190.719999999999999
-93	-188.280000000000001
-91	-188.419999999999987
-92	-189.129999999999995
-92	-191.669999999999987
-90	-193.400000000000006
-87	-188.939999999999998
-95	-193.490000000000009
-86	-187.409999999999997
-86	-187.699999999999989
-90	-189.47999999999999
-84	-184.180000000000007
-84	-185.430000000000007
-84	-188.930000000000007
-87	-188.530000000000001
-84	-184.060000000000002
-87	-184.77000000000001
-86	-187.22999999999999
-85	-183.159999999999997
-87	-192.120000000000005
-85	-182.830000000000013
-101	-192.379999999999995
-87	-188.800000000000011
-89	-188.719999999999999
-86	-177.310000000000002
-86	-178.800000000000011
-85	-183.22999999999999
-90	-189.189999999999998
-88	-186.819999999999993
-86	-187.780000000000001
-88	-186.47999999999999
-88	-185.310000000000002
-88	-190.110000000000014
-86	-182.689999999999998
-88	-185.319999999999993
-88	-188.550000000000011
-85	-185.810000000000002
-85	-190.180000000000007
-95	-193.800000000000011
-85	-194.069999999999993
-88	-192.800000000000011
-91	-193.889999999999986
-94	-194.860000000000014
-84	-194.419999999999987
-98	-194.460000000000008
