# Fitness: Best, Avg
-164	-199.819999999999993
-134	-197.847619047619048
-88	-194.086538461538453
-112	-192.389423076923066
-109	-191.94202898550725
-110	-189.881188118811878
-109	-186.289999999999992
-93	-186.851485148514854
-102	-187.10499999999999
-88	-185.879999999999995
-93	-187.310000000000002
-99	-187.850746268656707
-98	-185.64500000000001
-96	-187.735000000000014
-92	-189.064999999999998
-93	-190.919999999999987
-93	-187.944999999999993
-86	-189.439999999999998
-96	-188.930000000000007
-88	-189.504999999999995
-87	-187.870000000000005
-94	-188.680000000000007
-87	-186.949999999999989
-87	-189.109452736318417
-93	-192.293532338308466
-87	-191.194999999999993
-96	-187.840796019900495
-86	-188.917073170731697
-87	-185.705000000000013
-88	-189.589108910891099
-93	-192.420792079207928
-87	-188.504999999999995
-88	-189.175000000000011
-87	-185.775000000000006
-87	-188.320197044334975
-88	-184.289999999999992
-84	-187.580487804878061
-90	-188.310000000000002
-87	-185.372549019607845
-87	-185.659999999999997
-88	-182.571428571428584
-87	-187.245000000000005
-86	-180.504999999999995
-87	-181.891625615763559
-87	-184.712195121951225
-86	-181.384236453201964
-87	-185.882352941176464
-86	-186.519801980198025
-88	-185.840579710144937
-87	-183.472636815920396
-87	-186.366336633663366
